translator,no,bertscore,metricalDistanceAdjusted
iambic_pentameter_b,0,0.855281386003481,1.1969696969697
iambic_pentameter_b,1,0.882498198635471,2.01136363636364
iambic_pentameter_b,2,0.862698655938095,1.29220779220779
iambic_pentameter_b,3,0.911232747604131,1.02272727272727
iambic_pentameter_b,4,0.872980197141978,0.948051948051948
iambic_pentameter_b,5,0.858500787958334,0.709090909090909
iambic_pentameter_b,6,0.899045532653723,1.24242424242424
iambic_pentameter_b,7,0.885147464803364,0.675324675324675
iambic_pentameter_b,8,0.876673336221287,0.875
iambic_pentameter_b,9,0.88902224607027,1.63636363636364
iambic_pentameter_b,10,0.901730223852285,1.95454545454545
iambic_pentameter_b,11,0.892293011847379,1.72727272727273
iambic_pentameter_b,12,0.905096995793726,1.33766233766234
iambic_pentameter_b,13,0.929897891788418,1.34090909090909
iambic_pentameter_b,14,0.886241661582358,1.22727272727273
iambic_pentameter_b,15,0.884215431402964,1.27272727272727
iambic_pentameter_b,16,0.880224214842686,0.704545454545454
iambic_pentameter_b,17,0.89833301865031,1.31818181818182
iambic_pentameter_b,18,0.883310781907801,1.40909090909091
iambic_pentameter_b,19,0.862922251270612,0.75
iambic_pentameter_b,20,0.870477822736418,1.13636363636364
iambic_pentameter_b,21,0.909029361340926,0.886363636363636
iambic_pentameter_b,22,0.910540100471429,0.727272727272727
iambic_pentameter_b,23,0.907535371629768,1.59090909090909
iambic_pentameter_b,24,0.885078944966955,1.11363636363636
iambic_pentameter_b,25,0.914493940366701,1.83333333333333
iambic_pentameter_b,26,0.897559108150674,1.54545454545455
iambic_pentameter_b,27,0.924816579324578,1.33181818181818
iambic_pentameter_b,28,0.899311488361796,2.18181818181818
iambic_pentameter_b,29,0.88215854821087,1.51136363636364
iambic_pentameter_b,30,0.920809854869596,1.95454545454545
iambic_pentameter_b,31,0.920414144686968,2.45454545454545
iambic_pentameter_b,32,0.871432402907502,1.33522727272727
iambic_pentameter_b,33,0.884035256473413,0.681818181818182
iambic_pentameter_b,34,0.892609104928856,1.72727272727273
iambic_pentameter_b,35,0.873030248785688,0.805194805194805
iambic_pentameter_b,36,0.884180245652184,1.28571428571429
iambic_pentameter_b,37,0.899376596866355,0.75
iambic_pentameter_b,38,0.879786347416583,0.844155844155844
iambic_pentameter_b,39,0.886624300203511,1.20454545454545
iambic_pentameter_b,40,0.876052213484228,0.954545454545454
iambic_pentameter_b,41,0.885107691517306,1
iambic_pentameter_b,42,0.888297900301029,1.05681818181818
iambic_pentameter_b,43,0.883694270230222,1.5974025974026
iambic_pentameter_b,44,0.942110251085039,3.05194805194805
iambic_pentameter_b,45,0.900219990918574,1.06060606060606
iambic_pentameter_b,46,0.889312100770923,1.27272727272727
iambic_pentameter_b,47,0.888924704412311,0.720779220779221
iambic_pentameter_b,48,0.879290954587156,1.11038961038961
iambic_pentameter_b,49,0.876909367920538,0.954545454545454
iambic_pentameter_b,50,0.92225058016598,1.12121212121212
iambic_pentameter_b,51,0.886879413778906,1.59090909090909
iambic_pentameter_b,52,0.894946034607391,1.01298701298701
iambic_pentameter_b,53,0.880293014774258,0.647727272727273
iambic_pentameter_b,54,0.907587815695701,1.71428571428571
iambic_pentameter_b,55,0.905239169840744,0.844155844155844
iambic_pentameter_b,56,0.896796666049951,1.38383838383838
iambic_pentameter_b,57,0.886102781241715,0.883116883116883
iambic_pentameter_b,58,0.884493005983519,0.931818181818182
iambic_pentameter_b,59,0.905822465946464,1.41558441558442
iambic_pentameter_b,60,0.90016738341117,0.766233766233766
iambic_pentameter_b,61,0.859971391617889,0.722222222222222
iambic_pentameter_b,62,0.8737484473303,0.974025974025974
iambic_pentameter_b,63,0.879563515471415,1.87012987012987
iambic_pentameter_b,64,0.847774754301941,0.883116883116883
iambic_pentameter_b,65,0.856912732654589,1.05844155844156
iambic_pentameter_b,66,0,None
